id	awardName	year	category	issuer	description	createdAt	updatedAt
519	Distinguished Scientist	2021	International	ACM		2026-03-30T12:25:47.619+00:00	2026-03-30T12:25:47.619+00:00
520	“Top 100 AI Leaders in Drug Discovery and Advanced Healthcare”	2019	International	Deep Knowledge Analytics		2026-03-30T12:25:47.620+00:00	2026-03-30T12:25:47.620+00:00
521	Senior Member	2019	International	ISCB		2026-03-30T12:25:47.621+00:00	2026-03-30T12:25:47.621+00:00
522	Grand Challenge Award Winner (Competition among a community of >250,000 scientists for solving the Cancer Cell Drug Discovery challenge)	2012	International	Innocentive.com		2026-03-30T12:25:47.621+00:00	2026-03-30T12:25:47.621+00:00
523	Senior Member	2009	International	ACM		2026-03-30T12:25:47.622+00:00	2026-03-30T12:25:47.622+00:00
524	Senior Member	2004	International	IEEE		2026-03-30T12:25:47.622+00:00	2026-03-30T12:25:47.622+00:00
525	Grand Prize, Bridge2AI Theme Song Competition	2024	National	NIH Bridge2AI Program		2026-03-30T12:25:47.623+00:00	2026-03-30T12:25:47.623+00:00
526	Elected Fellow	2021	National	AIMBE		2026-03-30T12:25:47.624+00:00	2026-03-30T12:25:47.624+00:00
527	Elected Fellow	2020	National	AMIA		2026-03-30T12:25:47.624+00:00	2026-03-30T12:25:47.624+00:00
528	Elected Fellow	2019	National	ACMI		2026-03-30T12:25:47.625+00:00	2026-03-30T12:25:47.625+00:00
529	“17 Informatics Experts Worth Listening To”	2011	National	HealthTechTopia		2026-03-30T12:25:47.625+00:00	2026-03-30T12:25:47.625+00:00
530	Scientific Advisory Board Member	2011	National	ProteinLounge, Inc.		2026-03-30T12:25:47.626+00:00	2026-03-30T12:25:47.626+00:00
531	Distinguished Faculty List (selected along with 25 chief scientists and executives from Academia and biotech/pharmaceutical industry)	2010	National	CHI Translational Medicine Conference		2026-03-30T12:25:47.626+00:00	2026-03-30T12:25:47.626+00:00
532	Bioinformatics Dissemination Award	2007	National	Canary Foundation		2026-03-30T12:25:47.627+00:00	2026-03-30T12:25:47.627+00:00
533	Three-time Finalist/Nominee, “Technology Educator of the Year” MIRA Award by TechPoint Organization	2013	Regional	TechPoint (Indiana)		2026-03-30T12:25:47.628+00:00	2026-03-30T12:25:47.628+00:00
534	Finalist, Technology Innovator of the Year MIRA Award	2014	Regional	TechPoint (Indiana)		2026-03-30T12:25:47.629+00:00	2026-03-30T12:25:47.629+00:00
535	Finalist, Technology Innovator of the Year MIRA Award	2010	Regional	TechPoint (Indiana)		2026-03-30T12:25:47.629+00:00	2026-03-30T12:25:47.629+00:00
536	Small Business Grant Preparation Award	2007	Regional	State of Indiana		2026-03-30T12:25:47.630+00:00	2026-03-30T12:25:47.630+00:00
537	Economic Development Scholarship	2006	Regional	State of Indiana		2026-03-30T12:25:47.630+00:00	2026-03-30T12:25:47.630+00:00
538	Central Indiana Section Service Recognition Award	2006	Regional	IEEE		2026-03-30T12:25:47.631+00:00	2026-03-30T12:25:47.631+00:00
539	Triton Endowed Professorship	2023	University	University of Alabama Board of Trustees		2026-03-30T12:25:47.631+00:00	2026-03-30T12:25:47.631+00:00
540	Featured Discovery Award	2021	University	UAB School of Medicine		2026-03-30T12:25:47.632+00:00	2026-03-30T12:25:47.632+00:00
541	Commencement Marshall	2014	University	IUPUI School of Informatics		2026-03-30T12:25:47.632+00:00	2026-03-30T12:25:47.632+00:00
542	Inaugural Research Award	2011	University	IUPUI School of Informatics		2026-03-30T12:25:47.633+00:00	2026-03-30T12:25:47.633+00:00
543	Fellow, Center for Applied Cybersecurity Research	2010	University	Indiana University		2026-03-30T12:25:47.633+00:00	2026-03-30T12:25:47.633+00:00
544	Translational Research into Practice (TRIP) Scholar Recognition Award	2009	University	IUPUI		2026-03-30T12:25:47.634+00:00	2026-03-30T12:25:47.634+00:00
545	Chancellor’s Prestigious External Awards Recognition (PEAR)	2008	University	IUPUI		2026-03-30T12:25:47.634+00:00	2026-03-30T12:25:47.634+00:00
546	Founder Recognition Award	2007	University	Predictive Physiology and Medicine, Inc.		2026-03-30T12:25:47.635+00:00	2026-03-30T12:25:47.635+00:00
547	Summer Faculty Fellow	2005	University	Purdue Research Foundation		2026-03-30T12:25:47.635+00:00	2026-03-30T12:25:47.635+00:00
548	Project Achievement Award	1999	University	Affymetrix, Inc.		2026-03-30T12:25:47.636+00:00	2026-03-30T12:25:47.636+00:00
549	Outstanding Computer Science Graduate Research Award	1998	University	University of Minnesota		2026-03-30T12:25:47.636+00:00	2026-03-30T12:25:47.636+00:00
